"frequency";"R1";"R2";"r S[1,1]";"i S[1,1]"
1e+08;50;1;0.234432;-0.955133
1.03495e+08;50;1;0.182682;-0.963844
1.07113e+08;50;1;0.127833;-0.969736
1.10857e+08;50;1;0.0698016;-0.972278
1.14731e+08;50;1;0.00853321;-0.970851
1.18741e+08;50;1;-0.0559848;-0.964723
1.22892e+08;50;1;-0.123702;-0.953031
1.27187e+08;50;1;-0.194475;-0.934743
1.31633e+08;50;1;-0.268012;-0.908618
1.36233e+08;50;1;-0.343797;-0.873157
1.40995e+08;50;1;-0.420947;-0.826553
1.45923e+08;50;1;-0.498001;-0.766656
1.51024e+08;50;1;-0.572587;-0.69101
1.56302e+08;50;1;-0.64093;-0.597059
1.61765e+08;50;1;-0.697246;-0.482707
1.6742e+08;50;1;-0.733202;-0.347539
1.73271e+08;50;1;-0.738042;-0.194923
1.79328e+08;50;1;-0.700497;-0.034721
1.85596e+08;50;1;-0.613565;0.115158
1.92083e+08;50;1;-0.481122;0.231621
1.98796e+08;50;1;-0.321292;0.295316
2.05745e+08;50;1;-0.161018;0.300632
2.12936e+08;50;1;-0.0242148;0.257916
2.20379e+08;50;1;0.0768397;0.186176
2.28081e+08;50;1;0.141605;0.103692
2.36053e+08;50;1;0.176278;0.023041
2.44304e+08;50;1;0.188907;-0.0491927
2.52843e+08;50;1;0.186694;-0.110659
2.61681e+08;50;1;0.175125;-0.161376
2.70827e+08;50;1;0.158033;-0.202437
2.80293e+08;50;1;0.137947;-0.235276
2.9009e+08;50;1;0.116479;-0.261311
3.00229e+08;50;1;0.0946213;-0.281793
3.10723e+08;50;1;0.0729623;-0.297771
3.21584e+08;50;1;0.0518375;-0.310095
3.32824e+08;50;1;0.0314236;-0.319445
3.44457e+08;50;1;0.0118018;-0.32636
3.56497e+08;50;1;-0.00700294;-0.331267
3.68957e+08;50;1;-0.0249973;-0.334503
3.81853e+08;50;1;-0.0422044;-0.336336
3.952e+08;50;1;-0.0586545;-0.336983
4.09013e+08;50;1;-0.0743802;-0.336619
4.23309e+08;50;1;-0.0894135;-0.335386
4.38105e+08;50;1;-0.103784;-0.333404
4.53418e+08;50;1;-0.11752;-0.330773
4.69266e+08;50;1;-0.130646;-0.327578
4.85668e+08;50;1;-0.143184;-0.323893
5.02643e+08;50;1;-0.155155;-0.319782
5.20212e+08;50;1;-0.166578;-0.315304
5.38394e+08;50;1;-0.177471;-0.310509
5.57212e+08;50;1;-0.187851;-0.305442
5.76688e+08;50;1;-0.197735;-0.300146
5.96845e+08;50;1;-0.207137;-0.294657
6.17706e+08;50;1;-0.216074;-0.289011
6.39297e+08;50;1;-0.224562;-0.283239
6.61642e+08;50;1;-0.232614;-0.277368
6.84768e+08;50;1;-0.240246;-0.271426
7.08702e+08;50;1;-0.247474;-0.265435
7.33473e+08;50;1;-0.254311;-0.259417
7.5911e+08;50;1;-0.260773;-0.253392
7.85643e+08;50;1;-0.266873;-0.247377
8.13103e+08;50;1;-0.272626;-0.241388
8.41523e+08;50;1;-0.278046;-0.235439
8.70936e+08;50;1;-0.283146;-0.229543
9.01377e+08;50;1;-0.287939;-0.223711
9.32883e+08;50;1;-0.292437;-0.217952
9.65489e+08;50;1;-0.296653;-0.212275
9.99236e+08;50;1;-0.300597;-0.206687
1.03416e+09;50;1;-0.304281;-0.201195
1.07031e+09;50;1;-0.307714;-0.195805
1.10772e+09;50;1;-0.310906;-0.190519
1.14644e+09;50;1;-0.313864;-0.185343
1.18651e+09;50;1;-0.316596;-0.180279
1.22798e+09;50;1;-0.319109;-0.17533
1.2709e+09;50;1;-0.321406;-0.170498
1.31532e+09;50;1;-0.323491;-0.165784
1.36129e+09;50;1;-0.325367;-0.16119
1.40887e+09;50;1;-0.327034;-0.156719
1.45812e+09;50;1;-0.328491;-0.152372
1.50908e+09;50;1;-0.329734;-0.148152
1.56183e+09;50;1;-0.330758;-0.144065
1.61642e+09;50;1;-0.331553;-0.140117
1.67292e+09;50;1;-0.332111;-0.136318
1.73139e+09;50;1;-0.332416;-0.132682
1.79191e+09;50;1;-0.332454;-0.129228
1.85454e+09;50;1;-0.332208;-0.125984
1.91936e+09;50;1;-0.331661;-0.122988
1.98644e+09;50;1;-0.330798;-0.120289
2.05587e+09;50;1;-0.329613;-0.117954
2.12773e+09;50;1;-0.328113;-0.116064
2.2021e+09;50;1;-0.326328;-0.114717
2.27907e+09;50;1;-0.324326;-0.11402
2.35873e+09;50;1;-0.322217;-0.114078
2.44117e+09;50;1;-0.320169;-0.114972
2.5265e+09;50;1;-0.318396;-0.116727
2.61481e+09;50;1;-0.317137;-0.119285
2.7062e+09;50;1;-0.316615;-0.122489
2.80079e+09;50;1;-0.316983;-0.126092
2.89868e+09;50;1;-0.318284;-0.129801
3e+09;50;1;-0.320441;-0.133338
1e+08;10000;1;0.243471;-0.961058
1.03495e+08;10000;1;0.192592;-0.971505
1.07113e+08;10000;1;0.138551;-0.979489
1.10857e+08;10000;1;0.0812071;-0.984521
1.14731e+08;10000;1;0.0204332;-0.986016
1.18741e+08;10000;1;-0.043872;-0.983277
1.22892e+08;10000;1;-0.111764;-0.975458
1.27187e+08;10000;1;-0.183222;-0.961529
1.31633e+08;10000;1;-0.258092;-0.94023
1.36233e+08;10000;1;-0.336005;-0.910012
1.40995e+08;10000;1;-0.416235;-0.868987
1.45923e+08;10000;1;-0.497475;-0.814884
