"frequency";"R1";"R2";"r S31";"i S31"
1e+08;50;1;-35.3347;0
1.03495e+08;50;1;-33.5978;0
1.07113e+08;50;1;-31.8606;0
1.10857e+08;50;1;-30.1231;0
1.14731e+08;50;1;-28.3848;0
1.18741e+08;50;1;-26.6456;0
1.22892e+08;50;1;-24.9052;0
1.27187e+08;50;1;-23.1634;0
1.31633e+08;50;1;-21.4206;0
1.36233e+08;50;1;-19.6771;0
1.40995e+08;50;1;-17.9343;0
1.45923e+08;50;1;-16.1949;0
1.51024e+08;50;1;-14.4636;0
1.56302e+08;50;1;-12.7488;0
1.61765e+08;50;1;-11.0641;0
1.6742e+08;50;1;-9.43078;0
1.73271e+08;50;1;-7.88041;0
1.79328e+08;50;1;-6.45512;0
1.85596e+08;50;1;-5.20429;0
1.92083e+08;50;1;-4.17427;0
1.98796e+08;50;1;-3.39335;0
2.05745e+08;50;1;-2.86001;0
2.12936e+08;50;1;-2.54333;0
2.20379e+08;50;1;-2.39523;0
2.28081e+08;50;1;-2.36543;0
2.36053e+08;50;1;-2.41136;0
2.44304e+08;50;1;-2.50138;0
2.52843e+08;50;1;-2.614;0
2.61681e+08;50;1;-2.73546;0
2.70827e+08;50;1;-2.85743;0
2.80293e+08;50;1;-2.97509;0
2.9009e+08;50;1;-3.0859;0
3.00229e+08;50;1;-3.18867;0
3.10723e+08;50;1;-3.28304;0
3.21584e+08;50;1;-3.36914;0
3.32824e+08;50;1;-3.44734;0
3.44457e+08;50;1;-3.51817;0
3.56497e+08;50;1;-3.58218;0
3.68957e+08;50;1;-3.63997;0
3.81853e+08;50;1;-3.69208;0
3.952e+08;50;1;-3.73906;0
4.09013e+08;50;1;-3.78138;0
4.23309e+08;50;1;-3.81951;0
4.38105e+08;50;1;-3.85386;0
4.53418e+08;50;1;-3.88479;0
4.69266e+08;50;1;-3.91264;0
4.85668e+08;50;1;-3.93772;0
5.02643e+08;50;1;-3.96029;0
5.20212e+08;50;1;-3.98061;0
5.38394e+08;50;1;-3.99889;0
5.57212e+08;50;1;-4.01533;0
5.76688e+08;50;1;-4.0301;0
5.96845e+08;50;1;-4.04336;0
6.17706e+08;50;1;-4.05525;0
6.39297e+08;50;1;-4.06589;0
6.61642e+08;50;1;-4.07539;0
6.84768e+08;50;1;-4.08385;0
7.08702e+08;50;1;-4.09135;0
7.33473e+08;50;1;-4.09798;0
7.5911e+08;50;1;-4.10378;0
7.85643e+08;50;1;-4.10883;0
8.13103e+08;50;1;-4.11317;0
8.41523e+08;50;1;-4.11683;0
8.70936e+08;50;1;-4.11986;0
9.01377e+08;50;1;-4.12227;0
9.32883e+08;50;1;-4.12409;0
9.65489e+08;50;1;-4.12532;0
9.99236e+08;50;1;-4.12598;0
1.03416e+09;50;1;-4.12606;0
1.07031e+09;50;1;-4.12555;0
1.10772e+09;50;1;-4.12444;0
1.14644e+09;50;1;-4.12271;0
1.18651e+09;50;1;-4.12031;0
1.22798e+09;50;1;-4.11721;0
1.2709e+09;50;1;-4.11336;0
1.31532e+09;50;1;-4.10868;0
1.36129e+09;50;1;-4.1031;0
1.40887e+09;50;1;-4.09654;0
1.45812e+09;50;1;-4.08886;0
1.50908e+09;50;1;-4.07996;0
1.56183e+09;50;1;-4.06968;0
1.61642e+09;50;1;-4.05786;0
1.67292e+09;50;1;-4.0443;0
1.73139e+09;50;1;-4.02881;0
1.79191e+09;50;1;-4.01118;0
1.85454e+09;50;1;-3.99121;0
1.91936e+09;50;1;-3.96872;0
1.98644e+09;50;1;-3.9436;0
2.05587e+09;50;1;-3.91589;0
2.12773e+09;50;1;-3.88581;0
2.2021e+09;50;1;-3.85391;0
2.27907e+09;50;1;-3.82116;0
2.35873e+09;50;1;-3.78906;0
2.44117e+09;50;1;-3.75963;0
2.5265e+09;50;1;-3.73534;0
2.61481e+09;50;1;-3.71876;0
2.7062e+09;50;1;-3.71206;0
2.80079e+09;50;1;-3.71653;0
2.89868e+09;50;1;-3.73216;0
3e+09;50;1;-3.75763;0
1e+08;10000;1;-33.318;0
1.03495e+08;10000;1;-31.7212;0
1.07113e+08;10000;1;-30.1165;0
1.10857e+08;10000;1;-28.5032;0
1.14731e+08;10000;1;-26.8804;0
1.18741e+08;10000;1;-25.2473;0
1.22892e+08;10000;1;-23.603;0
1.27187e+08;10000;1;-21.9468;0
1.31633e+08;10000;1;-20.2782;0
1.36233e+08;10000;1;-18.5973;0
1.40995e+08;10000;1;-16.9047;0
1.45923e+08;10000;1;-15.2028;0
1.51024e+08;10000;1;-13.496;0
1.56302e+08;10000;1;-11.7923;0
1.61765e+08;10000;1;-10.1054;0
1.6742e+08;10000;1;-8.45692;0
1.73271e+08;10000;1;-6.87853;0
1.79328e+08;10000;1;-5.41302;0
1.85596e+08;10000;1;-4.11053;0
1.92083e+08;10000;1;-3.01838;0
1.98796e+08;10000;1;-2.16596;0
2.05745e+08;10000;1;-1.55304;0
2.12936e+08;10000;1;-1.15009;0
2.20379e+08;10000;1;-0.910459;0
2.28081e+08;10000;1;-0.785359;0
2.36053e+08;10000;1;-0.733627;0
2.44304e+08;10000;1;-0.724985;0
2.52843e+08;10000;1;-0.739157;0
2.61681e+08;10000;1;-0.763493;0
2.70827e+08;10000;1;-0.790593;0
2.80293e+08;10000;1;-0.816444;0
2.9009e+08;10000;1;-0.839119;0
3.00229e+08;10000;1;-0.857909;0
3.10723e+08;10000;1;-0.87279;0
3.21584e+08;10000;1;-0.884089;0
3.32824e+08;10000;1;-0.892283;0
3.44457e+08;10000;1;-0.897887;0
3.56497e+08;10000;1;-0.901396;0
3.68957e+08;10000;1;-0.903251;0
3.81853e+08;10000;1;-0.903832;0
3.952e+08;10000;1;-0.903453;0
4.09013e+08;10000;1;-0.902366;0
4.23309e+08;10000;1;-0.900774;0
4.38105e+08;10000;1;-0.898832;0
4.53418e+08;10000;1;-0.896658;0
4.69266e+08;10000;1;-0.894339;0
4.85668e+08;10000;1;-0.891939;0
5.02643e+08;10000;1;-0.889501;0
5.20212e+08;10000;1;-0.887053;0
5.38394e+08;10000;1;-0.884611;0
5.57212e+08;10000;1;-0.882184;0
5.76688e+08;10000;1;-0.879773;0
5.96845e+08;10000;1;-0.877371;0
6.17706e+08;10000;1;-0.874972;0
6.39297e+08;10000;1;-0.872563;0
6.61642e+08;10000;1;-0.870131;0
6.84768e+08;10000;1;-0.86766;0
7.08702e+08;10000;1;-0.865132;0
7.33473e+08;10000;1;-0.862528;0
7.5911e+08;10000;1;-0.859828;0
7.85643e+08;10000;1;-0.857009;0
8.13103e+08;10000;1;-0.854048;0
8.41523e+08;10000;1;-0.850919;0
8.70936e+08;10000;1;-0.847593;0
9.01377e+08;10000;1;-0.84404;0
9.32883e+08;10000;1;-0.840225;0
9.65489e+08;10000;1;-0.83611;0
9.99236e+08;10000;1;-0.831655;0
1.03416e+09;10000;1;-0.82681;0
1.07031e+09;10000;1;-0.821524;0
1.10772e+09;10000;1;-0.815735;0
1.14644e+09;10000;1;-0.809376;0
1.18651e+09;10000;1;-0.802368;0
1.22798e+09;10000;1;-0.794621;0
1.2709e+09;10000;1;-0.786034;0
1.31532e+09;10000;1;-0.776488;0
1.36129e+09;10000;1;-0.765849;0
1.40887e+09;10000;1;-0.753961;0
1.45812e+09;10000;1;-0.740646;0
1.50908e+09;10000;1;-0.725702;0
1.56183e+09;10000;1;-0.708899;0
1.61642e+09;10000;1;-0.689977;0
1.67292e+09;10000;1;-0.668653;0
1.73139e+09;10000;1;-0.644618;0
1.79191e+09;10000;1;-0.617555;0
1.85454e+09;10000;1;-0.587156;0
1.91936e+09;10000;1;-0.553159;0
1.98644e+09;10000;1;-0.51541;0
2.05587e+09;10000;1;-0.47395;0
2.12773e+09;10000;1;-0.429136;0
2.2021e+09;10000;1;-0.38181;0
2.27907e+09;10000;1;-0.333471;0
2.35873e+09;10000;1;-0.286426;0
2.44117e+09;10000;1;-0.243825;0
2.5265e+09;10000;1;-0.209468;0
2.61481e+09;10000;1;-0.187298;0
2.7062e+09;10000;1;-0.180611;0
2.80079e+09;10000;1;-0.191212;0
2.89868e+09;10000;1;-0.218868;0
3e+09;10000;1;-0.26133;0
1e+08;50;10000;-75.9969;0
1.03495e+08;50;10000;-74.5842;0
1.07113e+08;50;10000;-73.1849;0
1.10857e+08;50;10000;-71.8009;0
1.14731e+08;50;10000;-70.4346;0
1.18741e+08;50;10000;-69.0888;0
1.22892e+08;50;10000;-67.7666;0
1.27187e+08;50;10000;-66.4713;0
1.31633e+08;50;10000;-65.2065;0
1.36233e+08;50;10000;-63.9763;0
1.40995e+08;50;10000;-62.7847;0
1.45923e+08;50;10000;-61.6357;0
1.51024e+08;50;10000;-60.5333;0
1.56302e+08;50;10000;-59.4811;0
1.61765e+08;50;10000;-58.4822;0
1.6742e+08;50;10000;-57.5391;0
1.73271e+08;50;10000;-56.6535;0
1.79328e+08;50;10000;-55.8262;0
1.85596e+08;50;10000;-55.0569;0
1.92083e+08;50;10000;-54.3448;0
1.98796e+08;50;10000;-53.6882;0
